"","ref","ID","app.ref","r","pH.u","pH.a","app.mthd","pHr"
"99","Stevens et al. (1992)",114,NA,97.2222222222222,"7.5",6,"Broadcast",1.5
"100","Stevens et al. (1992)",114,NA,85.7142857142857,"7.5",6.5,"Broadcast",1
"101","Stevens et al. (1992)",114,NA,95.2380952380952,"7.5",6,"Broadcast",1.5
"102","Stevens et al. (1992)",114,NA,76.9230769230769,"7.5",6.5,"Broadcast",1
"103","Stevens et al. (1992)",114,NA,92.3076923076923,"7.5",6,"Broadcast",1.5
"104","Stevens et al. (1992)",114,NA,86.6666666666667,"7.5",6.5,"Broadcast",1
"105","Stevens et al. (1992)",114,NA,96.6666666666667,"7.5",6,"Broadcast",1.5
"106","Stevens et al. (1992)",114,NA,78.125,"7.5",6.5,"Broadcast",1
"107","Stevens et al. (1992)",114,NA,93.75,"7.5",6,"Broadcast",1.5
"108","Stevens et al. (1992)",114,NA,62.5,"7.5",6.5,"Broadcast",1
"109","Stevens et al. (1992)",114,NA,87.5,"7.5",6,"Broadcast",1.5
"110","Stevens et al. (1992)",114,NA,75,"7.5",6.5,"Broadcast",1
"111","Stevens et al. (1992)",114,NA,93.75,"7.5",6,"Broadcast",1.5
"112","Stevens et al. (1992)",114,NA,62.5,"7.5",6.5,"Broadcast",1
"113","Stevens et al. (1992)",114,NA,87.5,"7.5",6,"Broadcast",1.5
"114","Stevens et al. (1992)",114,NA,71.4285714285714,"7.5",6.5,"Broadcast",1
"115","Stevens et al. (1992)",114,NA,85.7142857142857,"7.5",6,"Broadcast",1.5
"116","Stevens et al. (1992)",114,NA,23.8095238095238,"7.9",7.4,"Broadcast",0.5
"117","Stevens et al. (1992)",114,NA,43.452380952381,"7.9",7.1,"Broadcast",0.800000000000001
"118","Stevens et al. (1992)",114,NA,63.6904761904762,"7.9",6.8,"Broadcast",1.1
"119","Stevens et al. (1992)",114,NA,88.6904761904762,"7.9",6.4,"Broadcast",1.5
"120","Stevens et al. (1992)",114,NA,6.89655172413792,"7.9",7.4,"Broadcast",0.5
"121","Stevens et al. (1992)",114,NA,27.5862068965517,"7.9",7.1,"Broadcast",0.800000000000001
"122","Stevens et al. (1992)",114,NA,46.360153256705,"7.9",6.8,"Broadcast",1.1
"123","Stevens et al. (1992)",114,NA,65.9003831417624,"7.9",6.4,"Broadcast",1.5
"124","Stevens et al. (1992)",114,NA,40.4605263157895,"7.9",7.4,"Broadcast",0.5
"125","Stevens et al. (1992)",114,NA,48.0263157894737,"7.9",7.1,"Broadcast",0.800000000000001
"126","Stevens et al. (1992)",114,NA,63.1578947368421,"7.9",6.8,"Broadcast",1.1
"127","Stevens et al. (1992)",114,NA,66.7763157894737,"7.9",6.4,"Broadcast",1.5
"128","Stevens et al. (1992)",114,NA,-14.0243902439025,"7.9",7.4,"Broadcast",0.5
"129","Stevens et al. (1992)",114,NA,25.609756097561,"7.9",7.1,"Broadcast",0.800000000000001
"130","Stevens et al. (1992)",114,NA,43.9024390243902,"7.9",6.8,"Broadcast",1.1
"131","Stevens et al. (1992)",114,NA,70.7317073170732,"7.9",6.4,"Broadcast",1.5
"132","Stevens et al. (1992)",114,NA,25.7575757575758,"7.9",7.4,"Broadcast",0.5
"133","Stevens et al. (1992)",114,NA,1.01010101010101,"7.9",7.1,"Broadcast",0.800000000000001
"134","Stevens et al. (1992)",114,NA,55.5555555555556,"7.9",6.8,"Broadcast",1.1
"135","Stevens et al. (1992)",114,NA,78.2828282828283,"7.9",6.4,"Broadcast",1.5
"136","Pain et al. (1990)",115,NA,29.6875,"7.4",5.5,"Broadcast",1.9
"137","Pain et al. (1990)",115,NA,32.1428571428571,"7.4",5.5,"Broadcast",1.9
"138","Pain et al. (1990)",115,NA,62.1621621621622,"7.3",5.5,"Broadcast",1.8
"139","Pain et al. (1990)",115,NA,48.3870967741936,"7.3",5.5,"Broadcast",1.8
